ID,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Latitude,Longitude
13311263,07/29/2022 03:39:00 AM,023XX S TROY ST,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE,TRUE,FALSE,10,2022,,
13053066,1/3/23 16:44,039XX W WASHINGTON BLVD,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,TRUE,FALSE,11,2023,,
11227634,08/26/2017 10:00:00 AM,001XX W RANDOLPH ST,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL/MOTEL,FALSE,FALSE,1,2017,,
13203321,9/6/23 17:00,002XX N Wells st,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1,2023,41.88601806,-87.63393788
13204489,9/6/23 11:00,0000X E 8TH ST,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1,2023,41.87183477,-87.62615082
11695116,05/21/2019 08:20:00 AM,018XX S CALIFORNIA AVE,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,10,2019,41.85654706,-87.69560453
12419690,7/7/21 10:30,132XX S GREENWOOD AVE,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,FALSE,FALSE,5,2021,41.65511579,-87.5948832
12729745,06/14/2022 02:47:00 PM,035XX N CENTRAL AVE,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,BANK,TRUE,FALSE,16,2022,41.94523241,-87.76673467
12835559,09/21/2022 10:00:00 PM,004XX E 69TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER (SPECIFY),TRUE,FALSE,3,2022,41.76934671,-87.61500829
13003649,02/22/2023 01:50:00 PM,070XX S CLYDE AVE,BURGLARY,FORCIBLE ENTRY,RESIDENCE - PORCH / HALLWAY,TRUE,FALSE,3,2023,41.76741922,-87.5738902
13061203,5/3/23 8:10,073XX S EMERALD AVE,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,TRUE,TRUE,7,2023,41.76094288,-87.64308281
13256787,12/25/2022 12:01:00 AM,055XX S ALBANY AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - GARAGE,FALSE,TRUE,8,2022,41.79260562,-87.70109031
27382,03/13/2023 06:40:00 PM,004XX E 88TH ST,HOMICIDE,FIRST DEGREE MURDER,ALLEY,TRUE,FALSE,6,2023,41.73469669,-87.61318158
27547,6/5/23 21:15,020XX N KIMBALL AVE,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,TRUE,TRUE,14,2023,41.91849446,-87.71191192
11662417,04/21/2019 12:30:00 PM,009XX E 80TH ST,ROBBERY,ARMED - HANDGUN,RESIDENCE,FALSE,FALSE,6,2019,41.74950033,-87.6011574
12218064,10/30/2020 04:30:00 PM,011XX E 82ND ST,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,TRUE,TRUE,4,2020,41.74588254,-87.59716764
12342615,04/17/2021 03:20:00 PM,081XX S PRAIRIE AVE,ROBBERY,VEHICULAR HIJACKING,RESIDENCE,TRUE,FALSE,6,2021,41.74662631,-87.61803195
